model,accuracy,f1_macro,f1_H,f1_D,f1_A,roc_auc,log_loss,brier
XGBoost,0.5294117647058824,0.4860595343353964,0.5846153846153846,0.2068965517241379,0.6666666666666666,0.6762148006608756,1.0250843180198423,0.6212521067495048
LightGBM,0.5147058823529411,0.4719235364396654,0.6031746031746031,0.1935483870967742,0.6190476190476191,0.6528429291965608,1.0859628406094135,0.6525026618334513
LogisticRegression,0.4705882352941176,0.4537493158182813,0.5517241379310345,0.3333333333333333,0.4761904761904761,0.6280024431968673,1.047651503951622,0.6335939619239117
SVM,0.5147058823529411,0.393505834601725,0.6027397260273972,0.0,0.5777777777777777,0.6176271607526194,1.0439867200185309,0.6283808223181252
RandomForest,0.5147058823529411,0.3904909560723514,0.6133333333333333,0.0,0.5581395348837209,0.6645796175510043,0.9804489923867932,0.5856707706869276
MLP,0.5147058823529411,0.3888888888888888,0.6666666666666666,0.0,0.5,0.6556655083727718,1.033142742032534,0.6128401341971138
StackingEnsemble,0.5294117647058824,0.3866023977258683,0.6436781609195402,0.0,0.5161290322580645,0.6570602238173772,1.0092272976435286,0.5992189384956773
