model,accuracy,f1_macro,f1_H,f1_D,f1_A,roc_auc,log_loss,brier
LogisticRegression,0.50814332247557,0.4607608355388599,0.6102941176470589,0.2153846153846154,0.5566037735849056,0.6421738683420571,1.04624388737489,0.6235176802919072
XGBoost,0.50814332247557,0.4205250659069996,0.6209150326797386,0.1290322580645161,0.5116279069767442,0.6458429351054672,1.105838253050614,0.6319000468454541
MLP,0.5179153094462541,0.4195331080576983,0.6223776223776224,0.0952380952380952,0.5409836065573771,0.6451674651425319,1.028312702210079,0.6150184857528926
StackingEnsemble,0.5570032573289903,0.4112375964227816,0.6493506493506493,0.0,0.5843621399176955,0.6527835375680838,0.9853712974494043,0.5875399164651026
SVM,0.5570032573289903,0.4086902275624508,0.6583850931677019,0.0,0.5676855895196506,0.6185329115370114,0.9966950188899928,0.5942192353785145
LightGBM,0.4657980456026058,0.396495573351099,0.5986394557823129,0.1495327102803738,0.4413145539906103,0.6313429728640112,1.21635652197081,0.6780574714773993
RandomForest,0.5342019543973942,0.3962706544816763,0.6496815286624203,0.0,0.5391304347826087,0.657994397098054,0.990979025641899,0.5847067544890476
